Name,ProjectName,Status,Priority,Estimate Hours,Due Date,Tags,Company,Notion URL,Notion ID
Finish Email Sequence Automation ,Optimise Et Vous,Backlog,P2,,2026-07-28,Client Delivery,,https://app.notion.com/p/Finish-Email-Sequence-Automation-3aa45ca2a46280fa99ded6fd26277584,3aa45ca2-a462-80fa-99de-d6fd26277584
Finish Calendly Import Automation ,Optimise Et Vous,Backlog,P2,,2026-07-29,Client Delivery,,https://app.notion.com/p/Finish-Calendly-Import-Automation-3aa45ca2a46280829debe2d252f3605d,3aa45ca2-a462-8082-9deb-e2d252f3605d
Automate HLD Market Lines with Script ,⚙️ BrightSpeed Automation — AutoCAD Permit Pipeline,Backlog,P2,,,,,https://app.notion.com/p/Automate-HLD-Market-Lines-with-Script-3aa45ca2a462806ba734c5c66c0ac93f,3aa45ca2-a462-806b-a734-c5c66c0ac93f
Finish Building The Flunter Connection and Automations  ,Steve Inacio - Sales Ecosystem,Backlog,P2,,2026-07-27,Client Delivery,,https://app.notion.com/p/Finish-Building-The-Flunter-Connection-and-Automations-3aa45ca2a462801c93e3ee0ba583401c,3aa45ca2-a462-801c-93e3-ee0ba583401c
Finish Airtable Interfaces ,Steve Inacio - Sales Ecosystem,Backlog,P2,,2026-07-27,Client Delivery,,https://app.notion.com/p/Finish-Airtable-Interfaces-3aa45ca2a462804f8650dc0071b8d2e2,3aa45ca2-a462-804f-8650-dc0071b8d2e2
Notion Client Page Automation ,Steve Inacio - Sales Ecosystem,Backlog,P2,,2026-07-28,Client Delivery,,https://app.notion.com/p/Notion-Client-Page-Automation-3aa45ca2a462809ba594cb327167fa2d,3aa45ca2-a462-809b-a594-cb327167fa2d
# Slack Notifications Automation,Steve Inacio - Sales Ecosystem,Backlog,P2,,2026-07-29,Client Delivery,,https://app.notion.com/p/Slack-Notifications-Automation-3aa45ca2a462803ea6ffc477113a9860,3aa45ca2-a462-803e-a6ff-c477113a9860
Plan B-Roll Bank ,Marketing ,Backlog,P2,,2026-07-30,Content,,https://app.notion.com/p/Plan-B-Roll-Bank-3aa45ca2a4628008aedad2a3597f5afc,3aa45ca2-a462-8008-aeda-d2a3597f5afc
Build Content Planning For The Month ,Marketing ,Backlog,P2,,2026-08-02,Content,,https://app.notion.com/p/Build-Content-Planning-For-The-Month-3aa45ca2a46280698c90dcb40417b6a9,3aa45ca2-a462-8069-8c90-dcb40417b6a9
Built Portfolio Website ,Marketing ,Backlog,P2,,2026-09-06,Marketing,,https://app.notion.com/p/Built-Portfolio-Website-3aa45ca2a46280bf8f03ff0f3439103c,3aa45ca2-a462-80bf-8f03-ff0f3439103c
Build Offer ,Marketing ,Backlog,P2,,2026-08-02,Marketing,,https://app.notion.com/p/Build-Offer-3aa45ca2a46280f89876c2e3346b28a6,3aa45ca2-a462-80f8-9876-c2e3346b28a6
Post 7 Carrousels ,Marketing ,Backlog,P2,,2026-08-02,Content,,https://app.notion.com/p/Post-7-Carrousels-3aa45ca2a46280248717f75cf239797f,3aa45ca2-a462-8024-8717-f75cf239797f
Produce Youtube video #1 ,Marketing ,Backlog,P2,,2026-07-29,Content,,https://app.notion.com/p/Produce-Youtube-video-1-3aa45ca2a462801a9199ebcb4fe4a80b,3aa45ca2-a462-801a-9199-ebcb4fe4a80b
Produce Youtube video #2 ,Marketing ,Backlog,P2,,2026-07-31,Content,,https://app.notion.com/p/Produce-Youtube-video-2-3aa45ca2a462807a9f2bf7f954d3eed3,3aa45ca2-a462-807a-9f2b-f7f954d3eed3
Register on Freelancing Platforms,Marketing ,Backlog,P2,,,,THE FORGE,https://app.notion.com/p/Register-on-Freelancing-Platforms-3a745ca2a462812884e9da0fea85d3f1,3a745ca2-a462-8128-84e9-da0fea85d3f1
Create Content Review / Scraper,Marketing ,Backlog,P2,,,,THE FORGE,https://app.notion.com/p/Create-Content-Review-Scraper-3a745ca2a46281989c8fdff5bfeabcf2,3a745ca2-a462-8198-9c8f-dff5bfeabcf2
Create Many Chat For Aquisition on Instagram,Marketing ,Backlog,P2,,,,THE FORGE,https://app.notion.com/p/Create-Many-Chat-For-Aquisition-on-Instagram-3a745ca2a46281bc96b3d2ef92559a40,3a745ca2-a462-81bc-96b3-d2ef92559a40
Analyze Competiton business model to reproduce,Marketing ,Backlog,P2,,,,THE FORGE,https://app.notion.com/p/Analyze-Competiton-business-model-to-reproduce-3a745ca2a46281139e80c8c4a5aa4be4,3a745ca2-a462-8113-9e80-c8c4a5aa4be4
